api_member_id,api_date,api_type,api_kind,api_relation,api_detail,api_current_valuation,api_origin_valuation,api_increased_amount,api_decreased_amount,api_reason_change
TO79481Z,201903,예금,,배우자,"(주)KEB하나은행 12,837,939(417,616 증가), 스탠다드차타드은행 278(44 감소), 미래에셋대우(주) 136,878(817 증가), 삼성생명 보험 2,682,662(187,559 증가), 신한은행 56,603(13,425 증가), AIA생명보험 55,905(2,335 증가), IBK연금보험 46,000(24,000 증가), 하나생명보험 120,000(25,000 감소), 우리은행 286,378 (298 증가), 신한금융투자(주) 141,204(12,309 감소), 한국투자 증권 2,799,263(1,516,671 증가)",19163110,17037742,7039154,4913786,"주택 매도 및 급여 저축, 이자증가, 증여, 월임대소득수입, 가계지출 등으로 인한 변동"
4019850M,201703,채무,금융기관채무,본인,"신한은행 18,500,000",18500000,18500000,0,0,
4019850M,201608,채무,금융기관채무,본인,"신한은행 18,500,000",18500000,,,,
4019850M,201803,채무,금융기관채무,본인,"신한은행 17,500,000(1,000,000 감소)",17500000,18500000,0,1000000,예금에서 대출금 상환
7XY7109I,201703,채권,,본인,사인간채권 증가,17168806,17000000,168806,0,"정치자금 대여 및 사무실
전세보증금반환채권"
7XY7109I,201903,채권,,본인,사인간채권,17168806,17168806,0,0,변동없음
7XY7109I,201803,채권,,본인,사인간채권,17168806,17168806,0,0,변동없음
7XY7109I,202003,채권,,본인,사인간채권 감소,17130000,17168806,,38806,회수불가
TO79481Z,201803,예금,,배우자,"(주)KEB하나은행 12,420,323(5,970,022 증가),
스탠다드차타드은행 322(38 증가), 미래에셋대우(주) 136,061(430,225 감소), 삼성생명보험 2,495,103(178,712
증가), 신한은행 43,178(15,638 증가), AIA생명보험주식회사 53,570(6,855 감소), IBK연금보험주식회사 22,000(22,000
증가), 하나생명보험 145,000, 우리은행 286,080(20,306 감소), 신한금융투자(주) 153,513(10,861 감소),
한국투자증권 1,282,592(2,680,366 감소)",17037742,13999945,11691921,8654124,
7XY7109I,201608,채권,,본인,사인간채권,17000000,,,,
3RW63706,202403,증권,비상장주식,본인,"서호도시개발 38,000주, 장연다이아몬드관광호텔14,000주, 폴루스바이오팜 10,000주",16965566,547184,16423382,5000,서호도시개발- 코로나 이후 계속된 순손실이 분양용지 처분에 따라 당기순이익으로 변환- 가액유형이 액면가에서 평가액으로 전환되면서 변동 발생
3RW63706,202408,증권,비상장주식,본인,"서호도시개발 38,000주, 장연다이아몬드관광호텔
14,000주, 폴루스바이오팜 10,000주",16965566,,,,
TO79481Z,202003,예금,,배우자,"(주)KEB하나은행 10,741,944(2,095,995 감소), AIA생명보
 험주식회사 0(55,905 감소), IBK연금보험주식회사 70,000(24,000 증가), 미래에셋대우(주) 0(136,878 감소),
 삼성생명보험 2,684,131(1,469 증가), 새마을금고 50,000(50,000 증가), 스탠다드차타드은행 298(20 증가), 신한금융투자(주) 219,180(77,976 증가), 신한은행 9(56,594 감소), 씨티은행 1,519,429(1,519,429 증가), 우
 리은행 5(286,373 감소), 하나생명보험 120,000, 한국투자
 증권 1,183,307(1,615,956 감소)",16588303,19163110,3860289,6435096,
L5P27909,202203, 건물,빌딩,배우자,"서울특별시 강남구 대치동 건물 13,948.00㎡ 중3,275.00㎡",15867855,15867855,0,0,
L5P27909,202008,건물,복합건물(주택+상가),배우자,"서울특별시 강남구 대치동 건물 13,948.00㎡ 중 3,275.00㎡",15867855,,,,
L5P27909,202103,건물,빌딩,배우자,"서울특별시 강남구 대치동 건물 13,948.00㎡ 중 3,275.00㎡ (건물 총면적 13,948.00㎡ 증가, 지분면적3,275.00㎡ 증가)",15867855,0,15867855,0,건물종류 오기로 인한 정정 1990년 시부 사망 후 상속
N4R2421C,201603,채권,,본인,사인간채권 감소,15124274,17525169,0,2400895,일부회수
N4R2421C,201703,채권,,본인,사인간채권,15124274,15124274,0,0,변동없음
4019850M,201903,채무,금융기관채무,본인,"신한은행 15,000,000(2,500,000 감소)",15000000,17500000,0,2500000,예금 등으로 상환
MSY7784L,202403,증권,비상장주식,배우자,"농업회사법인 삼경축산(주) 90,000주, 대선건설 479,897주, 주식회사 푸르밀 126,000주, 히얼위고3,334주(3,334주 증가)",14904207,21421749,3113518,9631060,평가액 반영
4019850M,202003,채무,금융기관채무,본인,"신한은행 14,400,000(600,000 감소)",14400000,15000000,,600000,예금 등으로 상환
4019850M,202103,채무,금융채무,본인,"신한은행 14,200,000(200,000 감소)",14200000,14400000,0,200000,예금 등으로 상환
TO79481Z,201703,예금,,배우자,"(주)KEB하나은행 6,450,301(550,320 감소),스탠다드차타드은행 284(284 증가), 미래에셋대우(주) 566,286(566,286 증가), 삼성생명보험 2,316,391(154,679증가), 신한은행 27,540(7,786 증가),하나생명보험 145,000(14,000 증가), 우리은행 306,386(196,824 증가), 신한금융투자(주) 164,374(164,374증가), AIA생명보험 60,425(118,165 감소), 한국투자증권3,962,958(1,963,764 증가)",13999945,11600433,7814832,5415320,
QB390802,201803,채권,,배우자,사인간채권 증가,13900000,3400000,10500000,0,채권 증가
QB390802,202003,채권,,배우자,사인간채권,13900000,13900000,,,변동없음
QB390802,201903,채권,,배우자,사인간채권,13900000,13900000,0,0,변동없음
N4R2421C,201803,채권,,본인,사인간채권 감소,13359110,15124274,4000000,5765164,채권회수 등
N4R2421C,201903,채권,,본인,사인간채권 감소,13348610,13359110,1500000,1510500,일부환수
4019850M,202203, 채무,금융채무,본인,"신한은행 13,000,000(1,200,000 감소)",13000000,14200000,0,1200000,예금으로 대출금 상환
DPZ7685X,202203, 예금,,본인,"AIA생명보험주식회사 21,938, DB손해보험(주)18,616(3,565 증가), NH투자증권 4, 교보생명보험18,000, 교보증권 46,449(10,545 증가), 농협은행12,260(2,713 감소), 부산은행 2,722,363(243,753 감소), 삼성화재해상보험 50,300(12,000 증가), 새마을금 고 170,035(1,221 감소), 새마을금고중앙회 공제사업부 36,675(3,140 증가), 스탠다드차타드은행9,306,487(9,306,000 증가), 신용협동조합중앙회22,696(268 증가), 신한라이프(신한생명) 18,432, 우리은행 247,047(127,201 증가), 우체국 22,722(556 증가), 한화생명보험주식회사 120,000(8,000 증가)",12834024,3610436,9612187,388599,배당금 및 채권 일부 환수로 인한 증가
CAA7713A,202403,증권,비상장주식,본인,"(주)백산금속 80,000주(29,000주 증가), (주)부광개발 80,000주(20,000주 증가), 경기은행 10,000주, 대동은행10,000주, 동남은행 10,000주, 동화은행 200주, 충청은행200주",12738320,6278087,6460233,0,부의 사망으로 주식(비상장주식) 사인증여 받음
QB390802,201903,유가증권,회사채,본인,"회사채 11,819,264,000주(4,926,108,000주 증가)",11819264,6893156,4926108,0,
QB390802,201703,예금,,배우자,"미래에셋대우(주) 11,684,821(11,684,821 증가), 씨티은행
25,765(22,776 증가), CITIBANK 52,062(3,081 증가),
신한생명보험 3,522(3,522 증가), 교보생명보험 24,144",11790314,76114,11714200,0,
TO79481Z,201608,예금,,배우자,"하나은행 7,000,621, 삼성생명보험 2,161,712, 신한은행 19,754,
하나생명보험 131,000, 우리은행 109,562, AIA생명보험 178,590, 한국투자증권 1,999,194",11600433,,,,
4019850M,202303,채무,금융채무,본인,"신한은행 11,500,000(1,500,000 감소)",11500000,13000000,0,1500000,예금 대출금 상환
QB390802,202003,유가증권,회사채,본인,"회사채 11,819,264,000주",11330048,11819264,3395,492611,
CFE3998F,202103,증권,비상장주식,장남,"이스타홀딩스 4,000주",11233912,11233912,0,0,변동없음
SNJ6318D,201703,예금,,배우자,"국민은행 2,000,005(1,999,990 증가), 메리츠종금증권117(11 증가), 신한은행 30, 우리은행 134,961(44,574 증가),상호저축은행중앙회 8,000,000(2,000,000 감소), 외환은행0(5 감소)",10135113,10090543,10044585,10000015,
SNJ6318D,201603,예금,,배우자,"국민은행 15(175 감소), 현대해상화재보험 0(3,120 감소),
메리츠종금증권 106(106 증가), 신한은행 30, 우리은행 90,387(9,203 감소), 상호저축은행중앙회 10,000,000,
외환은행 5(240 감소)",10090543,10103175,113,12745,
N4R2421C,202003,예금,,본인,"(주)KEB하나은행 792,831(2,031,814 감소), AIA생명보험주 식회사 225,007, 농협은행 8,688,258(8,624,046 증가), 농
 협중앙회 17,223(19,736 감소), 동양생명보험 1,074, 메리
 츠화재해상보험(보험) 167,485, 삼성증권 1,993(12 증가),
 새마을금고 632(14 증가), 신용협동조합중앙회 32,012(59 증가), 씨티은행 433(117,083 감소), 아이비케이투자증권 (주) 2, 우리은행 14,733(174,340 감소), 우체국
 27,010(46 증가)",9968693,3687489,8934158,2652954,부동산 매각대금 입금 등
QQ429063,202408,증권,비상장주식,배우자,"애플디앤씨주식회사 24,000주, 애플에너지주식회사 4,000주",9913712,,,,
MSY7784L,201903,예금,,배우자,"(주)KEB하나은행 153, 하나금융투자 42,701(42,701 증가), 국민은행 22,757(547 증가), 신한은행 19,094(318,548 감소), SK증권 9,152,082(5,296,101 증가), 삼성생명보험 65,628, 중소기업은행 83,351(4,034 증가), NH투자증권 0(6,256 감소), 중국건설은행대동지행 443,808(81,418 증가), 부산은행 25",9829599,4729602,6346993,1246996,
VHK3402G,202403,예금,,본인,"NH투자증권 50, 국민은행 1,120,014(148,116 증가),농협은행 7,902,531(4,877,219 증가), 새마을금고중앙회 873(34 증가), 신용협동조합중앙회 801(29 증가),신한금융투자(주) 3, 에이비엘생명보험 0(6,000 감소),우리은행 218,537(38,487 증가),푸본현대생명보험주식회사 200,000,한화생명보험주식회사 340,500(282,000 감소)",9783309,5007424,7719850,2943965,"급여 저축, 토지 매도"
VHK3402G,202403,예금,,본인,"NH투자증권 50, 국민은행 1,120,014(148,116 증가),농협은행 7,902,531(4,877,219 증가), 새마을금고중앙회 873(34 증가), 신용협동조합중앙회 801(29 증가),신한금융투자(주) 3, 에이비엘생명보험 0(6,000 감소),우리은행 218,537(38,487 증가),푸본현대생명보험주식회사 200,000,한화생명보험주식회사 340,500(282,000 감소)",9783309,5007424,7719850,2943965,"급여 저축, 토지 매도"
SNJ6318D,201803,예금,,배우자,"(주)KEB하나은행 5(5 증가), 국민은행 1,460,608(539,397
감소), 메리츠종금증권 131(14 증가), 신한은행 30, 우리은행 172,049(37,088 증가), 상호저축은행중앙회 8,000,000",9632823,10135113,1497714,2000004,
SNJ6318D,201903,예금,,배우자,"(주)KEB하나은행 0(5 감소), 미래에셋대우(주) 380,794(380,794 증가), 국민은행 5(1,460,603 감소), 메리츠종금증권 392(261 증가), 신한은행 30, 우리은행 202,608(30,559 증가), 상호저축 은행중앙회 0(8,000,000 감소), 농협은행 1,000,000(1,000,000 증가), 더케이저축은행 7,000,000(7,000,000 증가), 더케이 저축은행 1,000,000(1,000,000 증가)",9583829,9632823,9531066,9580060,
UB114374,202303,채권,,본인,사인간채권 증가,9500000,0,9500000,0,건물매도금액
L5P27909,202408,토지,대지,배우자,"서울특별시 강남구 대치동 890-12번지 0.00㎡ 중 0.00㎡ (총면적 306.60㎡ 감소, 지분면적 153.30㎡ 감소)",9357432,,,,
4019850M,202403,채무,금융채무,본인,"신한은행 9,100,000(2,400,000 감소)",9100000,11500000,0,2400000,예금 대출금 상환
HS39431V,202408,채권,,본인,사인간채권,9051050,,,,
4019850M,202303,증권,비상장주식,본인,"(주)박정어학원 28,034주, (주)아마존카 166,667주, 동우에이엔이(주) 2,500주, 아마존인슈(주) 22,600주",8751655,7596579,1492325,337249,비상장 법인 평가 방법 등으로 가액 변동
DPZ7685X,202303,예금,,본인,"AIA생명보험주식회사 21,938, DB손해보험(주)22,282(3,666 증가), NH투자증권 4, 교보생명보험 18,000,교보증권 27,196(19,253 감소), 농협은행 10,459(1,801 감소), 부산은행 2,053,351(669,012 감소),삼성화재해상보험 62,300(12,000 증가),새마을금고중앙회 39,755(130,280 감소), 새마을금고중앙회 공제사업부 248,315(211,640 증가), 스탠다드차타드은행 5,000,487(4,306,000 감소),신용협동조합중앙회 23,787(1,091 증가),신한라이프생명보험 18,432, 우리은행 1,031,785(784,738증가), 우체국 22,722, 한화생명보험주식회사 120,000",8720813,12834024,3245259,7358470,"생활비 지출 , 중도금 지급 및 소득세 납부 등으로 인한 감소"
DPZ7685X,202408,예금,,본인,"AIA생명보험주식회사 21,938, DB손해보험(주)
27,602(1,571 증가), NH투자증권 4, 교보생명보험 18,000,
교보증권 32,362(102 감소), 농협은행 12,479(2,675 증가), 부산은행 2,099,340(133,924 감소),
삼성화재해상보험 79,300(5,000 증가), 새마을금고중앙회 290,107(619 증가), 스탠다드차타드은행
4,742,514(142,027 증가), 신용협동조합중앙회
24,892(664 증가), 신한라이프생명보험 18,432, 우리은행
1,240,156(70,251 증가), 우체국 22,716,
한화생명보험주식회사 120,000",8661061,,,,
DPZ7685X,202408,예금,,본인,"AIA생명보험주식회사 21,938, DB손해보험(주)
27,602(1,571 증가), NH투자증권 4, 교보생명보험 18,000,
교보증권 32,362(102 감소), 농협은행 12,479(2,675 증가), 부산은행 2,099,340(133,924 감소),
삼성화재해상보험 79,300(5,000 증가), 새마을금고중앙회 290,107(619 증가), 스탠다드차타드은행
4,742,514(142,027 증가), 신용협동조합중앙회
24,892(664 증가), 신한라이프생명보험 18,432, 우리은행
1,240,156(70,251 증가), 우체국 22,716,
한화생명보험주식회사 120,000",8661061,,,,
FGX4881A,202003,예금,,본인,"국민은행 173,785(172,965 증가), 농협은행 9,838(7,158
 증가), 새마을금고 1,050,010(1,050,010 증가), 신한금융 투자(주) 270(270 증가), 우리은행 1,310(1,210 증가), 중
 소기업은행 7,400,000(7,400,000 증가)",8635213,3600,8631613,,부동산 매도금
CAA7713A,202103,증권,비상장주식,본인,"경기은행 10,000주, 충청은행 200주, (주)백산금속51,000주, 동남은행 10,000주, (주)부광개발 60,000주, 동화은행 200주, 대동은행 10,000주",8616692,8616692,0,0,
CAA7713A,202008,증권,비상장주식,본인,"경기은행 10,000주, 충청은행 200주, (주)백산금속 51,000주, 동남은행 10,000주, (주)부광개발 60,000주, 동화은행 200주, 대동은행 10,000주",8616692,,,,
YOG1280B,201703,예금,,본인,"푸르덴셜생명보험 30,827(1,770 증가), 미래에셋대우(주)
3,186,554(3,183,458 감소), 신한은행 78,630(5,810 증가),
우리은행 5,009,137(4,792,289 증가), 삼성생명보험 3,213, 노원 30(30 증가), 농협은행 150,000(149,349 증가),
신한금융투자(주) 0(796,882 감소), 유안타증권 4, 국민은행 21,771(237 증가), (주)KEB하나은행 2,634(2 증가),
한국투자증권 287, 광주은행 200, 미래에셋증권 0(98 감소),
27,082(2,087 감소)",8510369,7543407,5158492,4191530,회사채매도자금 예금 입금 등
8I61593E,201603,예금,,본인,"대우증권 3, 삼일상호저축은행 11,700(9,006 증가), 신한은행
5,771,530(114,597 감소), 외환은행 197,230(53,023 증가),
영진상호저축은행 9, 우리은행 748,990(349,852 감소), 농협은행 11,208(309,863 감소), 씨티은행 245, 포항중앙 349(8 증가), 유안타증권 2, 현대증권 759(235 증가), 국민은행 2, 라이나생명보험 0(2,926 감소), 하나대투증권 12, 영일 106, 하나은행 1,250,000, 유진투자증권 4, 삼성화재해상보험 96,485(48,463 감소), ING(네덜란드)생명보험 375,655, 새마을금고중앙회
공제사업부 0(2,807 감소)",8464289,9230525,6643022,7409258,"정기예금 해지 및 재예치, 정치자금통장 구분신고"
HS39431V,202408,예금,,본인,"(주)KEB하나은행 7,469,646, AIA생명보험주식회사 192,710, 농협은행 1,503,삼성생명보험 36,165, 삼성화재해상보험 1,500, 새마을금고중앙회 2,신한은행 614,930, 우리은행 13,864, 하나증권 2,632, 한국투자증권 53",8333005,,,,
N4R2421C,202303,채권,,본인,사인간채권 증가,8315116,6515116,1800000,0,금전소비대차 계약 체결(1건)
N4R2421C,202203, 증권,비상장주식,본인,"원하건설 주식회사 72,794주(72,794주 증가), 이준종합 건설 주식회사 48,000주(48,000주 증가), 주식회사 혜영건설 121,800주(121,800주 증가)",8246227,0,8246227,0,백지신탁 해지로 인한 비상장주식 등록
V1849655,201603,채무,,본인,사인간채무 증가,8230442,7585809,644633,0,퇴직금추계액 변동
UB114374,202403,채권,,본인,사인간채권 감소,8080000,9500000,0,1420000,일부환수
UB114374,202408,채권,,본인,사인간채권 감소,8080000,,,,
UB114374,202203, 건물,근린생활시설,본인,"서울특별시 서초구 반포동 서흥빌딩 대지 413.90㎡ 건물 1,476.16㎡",7951755,7700000,251755,0,가액변동
4019850M,202103,증권,비상장주식,본인,"동우에이앤이 0주(2,500주 감소), (주)피앤제이글로벌 39,999주, (주)아마존카 166,667주, 아마존인슈(주)22,600주, 동우에이엔이(주) 2,500주(2,500주 증가),(주)박정어학원 28,034주",7797969,1427920,7797969,1427920,비상장법인주식 평가방법 변경으로 가액변동
UB114374,202008,건물,근린생활시설,본인,"서울특별시 서초구 반포동  서흥빌딩 대지 413.90㎡ 건물 1,476.16㎡",7700000,,,,
UB114374,202103,건물,근린생활시설,본인,"서울특별시 서초구 반포동  서흥빌딩 대지 413.90㎡ 건물 1,476.16㎡",7700000,7700000,0,0,변동없음
4019850M,202203, 증권,비상장주식,본인,"(주)박정어학원 28,034주, (주)아마존카 166,667주, (주)피앤제이글로벌 0주(39,999주 감소), 동우에이엔이(주) 2,500주, 아마존인슈(주) 22,600주",7596579,7797969,24227,225617,비상장 법인 평가 및 상장주식 취득 으로 가액변동
YOG1280B,201603,예금,,본인,"푸르덴셜생명보험 29,057(1,770 증가), 대우증권
6,370,012(1,176,176 감소), 신한은행 72,820(5,810 증가),
우리은행 216,848(192,262 증가), 삼성생명보험 3,213,
농협은행 651(72,965 감소), 신한금융투자(주) 796,882(10,810 증가), 유안타증권 4, 국민은행 21,534(269
증가), Bank of America 29,169(2,711 감소), 한국투자증권 287(1 증가), 하나은행 2,632(2 증가), 광주은행 200(200
증가), 미래에셋증권 98(91 증가)",7543407,8584044,213302,1253939,예금이체 및 회사채 매입 등
N4R2421C,202403,채권,,본인,사인간채권 감소,7315116,8315116,0,1000000,대여금 일부 수령
