의원ID,의원명,신고연도,신고월,자산구분,관계,종류,상세내역,종전가액,증가액,감소액,현재가액,변동사유
Q129715Y,강유정,2024,8,예금,장녀,,(주)KEB하나은행,7542,0,0,7542,
Q129715Y,강유정,2024,8,채무,본인,금융채무,국민은행,159586,0,0,159586,
Q129715Y,강유정,2024,8,채무,본인,금융채무,신한카드,101671,0,0,101671,
Q129715Y,강유정,2024,8,채무,배우자,금융채무,(주)KEB하나은행,951401,0,0,951401,
Q129715Y,강유정,2024,8,채무,배우자,금융채무,국민은행,252200,0,0,252200,
Q129715Y,강유정,2024,8,채무,배우자,금융채무,비엔케이캐피탈(주),22916,0,0,22916,
Q129715Y,강유정,2024,8,채무,배우자,금융채무,하나캐피탈,19795,0,0,19795,
Q129715Y,강유정,2024,8,고지거부및 등록제외사항,부,고지거부,고지거부,0,0,0,0,타인부양
HS39431V,고동진,2024,8,건물,본인,아파트,"서울특별시 용산구 한남동 한남더힐 건물 558,984.00㎡",7240700,0,0,7240700,
HS39431V,고동진,2024,8,건물,본인,오피스텔(전세(임차)권),서울특별시 강남구 대치동 대치 클래시아 건물 30.22㎡,30000,0,0,30000,
HS39431V,고동진,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2021년식 페라리 배기량(3,900cc)",231084,0,0,231084,
HS39431V,고동진,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,배우자,자동차,"2021년식 페라리 배기량(3,900cc)",25676,0,0,25676,
HS39431V,고동진,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,배우자,자동차,"2019년식 SL400 배기량(3,000cc)",57930,0,0,57930,
HS39431V,고동진,2024,8,예금,본인,,(주)KEB하나은행,7469646,0,0,7469646,
HS39431V,고동진,2024,8,예금,본인,,AIA생명보험주식회사,192710,0,0,192710,
HS39431V,고동진,2024,8,예금,본인,,농협은행,1503,0,0,1503,
HS39431V,고동진,2024,8,예금,본인,,삼성생명보험,36165,0,0,36165,
HS39431V,고동진,2024,8,예금,본인,,삼성화재해상보험,1500,0,0,1500,
HS39431V,고동진,2024,8,예금,본인,,새마을금고중앙회,2,0,0,2,
HS39431V,고동진,2024,8,예금,본인,,신한은행,614930,0,0,614930,
HS39431V,고동진,2024,8,예금,본인,,우리은행,13864,0,0,13864,
HS39431V,고동진,2024,8,예금,본인,,하나증권,2632,0,0,2632,
HS39431V,고동진,2024,8,예금,본인,,한국투자증권,53,0,0,53,
HS39431V,고동진,2024,8,예금,배우자,,(주)KEB하나은행,84,0,0,84,
HS39431V,고동진,2024,8,예금,배우자,,DB손해보험(주),7684,0,0,7684,
HS39431V,고동진,2024,8,예금,배우자,,교보생명보험,100000,0,0,100000,
HS39431V,고동진,2024,8,예금,배우자,,국민은행,282949,0,0,282949,
HS39431V,고동진,2024,8,예금,배우자,,농협은행,4,0,0,4,
HS39431V,고동진,2024,8,예금,배우자,,대신증권,772,0,0,772,
HS39431V,고동진,2024,8,예금,배우자,,삼성생명보험,40000,0,0,40000,
HS39431V,고동진,2024,8,예금,배우자,,삼성증권,77,0,0,77,
HS39431V,고동진,2024,8,예금,배우자,,신한은행,2085913,0,0,2085913,
HS39431V,고동진,2024,8,예금,차남,,국민은행,95,0,0,95,
HS39431V,고동진,2024,8,예금,차남,,삼성증권,53,0,0,53,
HS39431V,고동진,2024,8,예금,차남,,신한은행,38998,0,0,38998,
HS39431V,고동진,2024,8,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,본인,,(주)KEB하나은행,15951,0,0,15951,
HS39431V,고동진,2024,8,증권,본인,상장주식,"ISHARESUSTREASURYBOND7-10YEARJPYHEDGEDETF 12,430주, 삼성전자 48,500주",3745729,0,0,3745729,
HS39431V,고동진,2024,8,증권,배우자,상장주식,"NH투자증권 5주, 삼성전자 11,794주",866920,0,0,866920,
HS39431V,고동진,2024,8,증권,차남,상장주식,"삼성전자 11,747주",863404,0,0,863404,
HS39431V,고동진,2024,8,채권,본인,,사인간채권,9051050,0,0,9051050,
HS39431V,고동진,2024,8,골동품 및 예술품,본인,,"미술품(서양화) (맨드라미, 145.5*112Cm, 김지원, 2021)",25000,0,0,25000,
HS39431V,고동진,2024,8,합명·합자·유한회사 출자지분,본인,출자,푸른 미디어컨텐츠 신기술투자조합,200000,0,0,200000,
HS39431V,고동진,2024,8,합명·합자·유한회사 출자지분,본인,출자,유한책임회사 디제이케이,28200,0,0,28200,
HS39431V,고동진,2024,8,합명·합자·유한회사 출자지분,본인,출자,디제이서니 유한회사,1000,0,0,1000,
HS39431V,고동진,2024,8,합명·합자·유한회사 출자지분,배우자,출자,유한책임회사 디제이케이,19800,0,0,19800,
HS39431V,고동진,2024,8,합명·합자·유한회사 출자지분,차남,출자,유한책임회사 디제이케이,9000,0,0,9000,
REG96285,곽규택,2024,8,건물,본인,복합건물(주택+상가),"부산광역시 중구 대청동2가 대지 508.10㎡ 중 169.30㎡ 건물 2,014.10㎡ 중 671.30㎡",1212538,0,0,1212538,
REG96285,곽규택,2024,8,건물,본인,아파트,서울특별시 서초구 서초동 서초푸르지오써밋아파트 건물 120.98㎡ 중 60.49㎡,1105000,0,0,1105000,
REG96285,곽규택,2024,8,건물,배우자,아파트,서울특별시 서초구 서초동 서초푸르지오써밋아파트 건물 120.98㎡ 중 60.49㎡,1105000,0,0,1105000,
REG96285,곽규택,2024,8,건물,배우자,아파트(전세(임차)권),부산광역시 서구 암남동 송도힐스테이트이진베이시티아파트 건물 138.86㎡,720000,0,0,720000,
REG96285,곽규택,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,배우자,자동차,"2020년식 G70 배기량(1,998cc)",22690,0,0,22690,
REG96285,곽규택,2024,8,예금,본인,,(주)카카오페이증권,5,0,0,5,
REG96285,곽규택,2024,8,예금,본인,,KB라이프생명보험,36001,0,0,36001,
REG96285,곽규택,2024,8,예금,본인,,KB증권,9,0,0,9,
REG96285,곽규택,2024,8,예금,본인,,국민은행,14299,0,0,14299,
REG96285,곽규택,2024,8,예금,본인,,농협은행,4,0,0,4,
REG96285,곽규택,2024,8,예금,본인,,동양생명보험,2501,0,0,2501,
REG96285,곽규택,2024,8,예금,본인,,부산은행,312,0,0,312,
REG96285,곽규택,2024,8,예금,본인,,삼성생명보험,40460,0,0,40460,
REG96285,곽규택,2024,8,예금,본인,,삼성화재해상보험,1074,0,0,1074,
REG96285,곽규택,2024,8,예금,본인,,새마을금고중앙회,1,0,0,1,
REG96285,곽규택,2024,8,예금,본인,,신용협동조합중앙회,1538,0,0,1538,
REG96285,곽규택,2024,8,예금,본인,,신한은행,5003,0,0,5003,
REG96285,곽규택,2024,8,예금,본인,,신한투자증권,16294,0,0,16294,
REG96285,곽규택,2024,8,예금,본인,,씨티은행,13,0,0,13,
REG96285,곽규택,2024,8,예금,본인,,우리은행,1,0,0,1,
REG96285,곽규택,2024,8,예금,본인,,주식회사 아이엠라이프생명보험,28480,0,0,28480,
REG96285,곽규택,2024,8,예금,본인,,주식회사 카카오뱅크,2,0,0,2,
REG96285,곽규택,2024,8,예금,배우자,,KB증권,2,0,0,2,
REG96285,곽규택,2024,8,예금,배우자,,국민은행,99047,0,0,99047,
REG96285,곽규택,2024,8,예금,배우자,,삼성화재해상보험,17850,0,0,17850,
REG96285,곽규택,2024,8,예금,배우자,,주식회사 카카오뱅크,58482,0,0,58482,
REG96285,곽규택,2024,8,예금,장녀,,(주)KEB하나은행,14,0,0,14,
REG96285,곽규택,2024,8,예금,장녀,,NH투자증권,78,0,0,78,
REG96285,곽규택,2024,8,예금,장녀,,삼성증권,164,0,0,164,
REG96285,곽규택,2024,8,예금,장녀,,주식회사 카카오뱅크,2101,0,0,2101,
REG96285,곽규택,2024,8,예금,장녀,,중소기업은행,11064,0,0,11064,
REG96285,곽규택,2024,8,예금,장녀,,토스뱅크(주),16066,0,0,16066,
REG96285,곽규택,2024,8,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,본인,,우리은행,8208,0,0,8208,
REG96285,곽규택,2024,8,증권,배우자,상장주식,"삼성전자 1주, 삼성전자우 1주",133,0,0,133,
REG96285,곽규택,2024,8,증권,배우자,비상장주식,"넥스텔 26주, 마이다스텍 100주, 주식회사 백상 5,600주",369523,0,0,369523,
REG96285,곽규택,2024,8,증권,장녀,상장주식,아이씨티케이 1주,16,0,0,16,
REG96285,곽규택,2024,8,증권,장녀,비상장주식,"주식회사 백상 1,200주",79170,0,0,79170,
REG96285,곽규택,2024,8,증권,차녀,비상장주식,"주식회사 백상 1,200주",79170,0,0,79170,
REG96285,곽규택,2024,8,채무,본인,,사인간채무,200000,0,0,200000,
REG96285,곽규택,2024,8,채무,본인,금융채무,국민은행,1182000,0,0,1182000,
REG96285,곽규택,2024,8,채무,본인,금융채무,부산은행,320333,0,0,320333,
REG96285,곽규택,2024,8,채무,본인,금융채무,삼성화재해상보험,294694,0,0,294694,
REG96285,곽규택,2024,8,채무,본인,금융채무,현대캐피탈,33931,0,0,33931,
REG96285,곽규택,2024,8,채무,본인,건물임대채무,서울특별시 서초구 서초동 서초푸르지오써밋아파트 임대보증금,900000,0,0,900000,
REG96285,곽규택,2024,8,채무,본인,건물임대채무,부산광역시 중구 대청동 2가 임대보증금,46667,0,0,46667,
REG96285,곽규택,2024,8,채무,배우자,건물임대채무,서울특별시 서초구 서초동 서초푸르지오써밋아파트 임대보증금,900000,0,0,900000,
REG96285,곽규택,2024,8,가상자산,본인,,"비트코인 0.00002289개, 이더리움페어 0.6375개, 이더리움피오더블유 0.6375개, 페이코인 1개",2,0,0,2,
FIE6569O,곽상언,2024,8,건물,배우자,아파트,서울특별시 마포구 서교동 메세나폴리스 건물 148.98㎡,1721000,0,0,1721000,
FIE6569O,곽상언,2024,8,건물,배우자,아파트(전세(임차)권),서울특별시 종로구 무악동 경희궁 롯데캐슬 건물 110.85㎡,1130000,0,0,1130000,
FIE6569O,곽상언,2024,8,건물,부,다가구주택,서울특별시 은평구 갈현동 대지 159.30㎡ 중 26.55㎡ 건물 236.22㎡ 중 39.37㎡,85667,0,0,85667,
FIE6569O,곽상언,2024,8,건물,부,오피스텔,세종특별자치시 대평동 해피라움 페스타 건물 23.05㎡,146386,0,0,146386,
FIE6569O,곽상언,2024,8,건물,장녀,숙박시설(전세(임차)권),서울특별시 관악구 신림동 건물 20.00㎡,5000,0,0,5000,
FIE6569O,곽상언,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2018년식 G80 배기량(3,342cc)",23620,0,0,23620,
FIE6569O,곽상언,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2024년식 더 뉴 카니발 G3.5(하이리무진) 배기량(3,500cc)",7136,0,0,7136,
FIE6569O,곽상언,2024,8,예금,본인,,(주)KEB하나은행,181,0,0,181,
FIE6569O,곽상언,2024,8,예금,본인,,국민은행,26703,0,0,26703,
FIE6569O,곽상언,2024,8,예금,본인,,농협은행,582,0,0,582,
FIE6569O,곽상언,2024,8,예금,본인,,삼성증권,322,0,0,322,
FIE6569O,곽상언,2024,8,예금,본인,,신한은행,3010,0,0,3010,
FIE6569O,곽상언,2024,8,예금,본인,,우리은행,29730,0,0,29730,
FIE6569O,곽상언,2024,8,예금,본인,,전북은행,572,0,0,572,
FIE6569O,곽상언,2024,8,예금,본인,,주식회사 카카오뱅크,1007,0,0,1007,
FIE6569O,곽상언,2024,8,예금,본인,,하나증권,190,0,0,190,
FIE6569O,곽상언,2024,8,예금,배우자,,(주)KEB하나은행,941,0,0,941,
FIE6569O,곽상언,2024,8,예금,배우자,,국민은행,47,0,0,47,
FIE6569O,곽상언,2024,8,예금,배우자,,신한라이프생명보험,25499,0,0,25499,
FIE6569O,곽상언,2024,8,예금,배우자,,신한은행,10372,0,0,10372,
FIE6569O,곽상언,2024,8,예금,배우자,,유안타증권,5,0,0,5,
FIE6569O,곽상언,2024,8,예금,배우자,,중소기업은행,322,0,0,322,
FIE6569O,곽상언,2024,8,예금,배우자,,한화손해보험,120,0,0,120,
FIE6569O,곽상언,2024,8,예금,배우자,,흥국생명보험,7200,0,0,7200,
FIE6569O,곽상언,2024,8,예금,부,,(주)KB손해보험,1830,0,0,1830,
FIE6569O,곽상언,2024,8,예금,부,,KB증권,111,0,0,111,
FIE6569O,곽상언,2024,8,예금,부,,국민은행,4,0,0,4,
FIE6569O,곽상언,2024,8,예금,부,,농협은행,4984,0,0,4984,
FIE6569O,곽상언,2024,8,예금,부,,농협중앙회,803,0,0,803,
FIE6569O,곽상언,2024,8,예금,부,,신용협동조합중앙회,1866,0,0,1866,
FIE6569O,곽상언,2024,8,예금,부,,우체국,334,0,0,334,
FIE6569O,곽상언,2024,8,예금,부,,유안타증권,2021,0,0,2021,
FIE6569O,곽상언,2024,8,예금,부,,처브라이프생명,3880,0,0,3880,
FIE6569O,곽상언,2024,8,예금,장남,,신한은행,13846,0,0,13846,
FIE6569O,곽상언,2024,8,예금,장녀,,국민은행,50,0,0,50,
FIE6569O,곽상언,2024,8,예금,장녀,,신한은행,6078,0,0,6078,
FIE6569O,곽상언,2024,8,예금,장녀,,우리은행,466,0,0,466,
FIE6569O,곽상언,2024,8,예금,차녀,,(주)KEB하나은행,1,0,0,1,
FIE6569O,곽상언,2024,8,예금,차녀,,신한은행,6878,0,0,6878,
FIE6569O,곽상언,2024,8,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,본인,,농협은행,8864,0,0,8864,
FIE6569O,곽상언,2024,8,증권,부,상장주식,"켄코아에어로스페이스 1,162주",12956,0,0,12956,
FIE6569O,곽상언,2024,8,채무,본인,금융채무,우리은행,400000,0,0,400000,
FIE6569O,곽상언,2024,8,채무,본인,금융채무,전북은행,107141,0,0,107141,
FIE6569O,곽상언,2024,8,채무,본인,금융채무,현대캐피탈,44737,0,0,44737,
FIE6569O,곽상언,2024,8,채무,배우자,건물임대채무,서울특별시 마포구 서교동 메세나폴리스 임대보증금,1600000,0,0,1600000,
FIE6569O,곽상언,2024,8,채무,본인,금융채무,상호저축은행중앙회,2008,0,0,2008,
FIE6569O,곽상언,2024,8,합명·합자·유한회사 출자지분,본인,출자,법무법인 인강,20000,0,0,20000,
LYY5513O,권영진,2024,8,건물,본인,아파트,서울특별시 노원구 중계동 360-15 건영3 건물 84.90㎡ 중 42.45㎡,346000,0,0,346000,
LYY5513O,권영진,2024,8,건물,본인,근린생활시설(전세(임차)권),대구광역시 달서구 두류동 3층 건물 270.00㎡,20000,0,0,20000,
LYY5513O,권영진,2024,8,건물,배우자,아파트,서울특별시 노원구 중계동 360-15 건영3 건물 84.90㎡ 중 42.45㎡,346000,0,0,346000,
LYY5513O,권영진,2024,8,건물,배우자,아파트(전세(임차)권),대구광역시 달서구 본리동 성당 래미안 e-편한세상 건물 151.47㎡,100000,0,0,100000,
